hex_id,stat,utci_present,utci_2050,utci_2090
4079,typical_day_mean_utci,28.25,29.69,30.69
3865,typical_day_mean_utci,28.25,29.68,30.69
3758,typical_day_mean_utci,28.26,29.69,30.7
3866,typical_day_mean_utci,28.25,29.68,30.69
3652,typical_day_mean_utci,28.26,29.7,30.71
3759,typical_day_mean_utci,28.26,29.69,30.7
3867,typical_day_mean_utci,30.41,31.86,32.95
3653,typical_day_mean_utci,28.27,29.7,30.71
3760,typical_day_mean_utci,30.93,32.38,33.51
3654,typical_day_mean_utci,31.28,32.73,33.87
3868,typical_day_mean_utci,33.83,35.31,36.6
3545,typical_day_mean_utci,28.26,29.7,30.71
3439,typical_day_mean_utci,28.27,29.7,30.71
3546,typical_day_mean_utci,28.27,29.7,30.71
3440,typical_day_mean_utci,28.27,29.7,30.71
3547,typical_day_mean_utci,29.79,31.23,32.29
3333,typical_day_mean_utci,28.27,29.7,30.71
3441,typical_day_mean_utci,28.32,29.75,30.77
3334,typical_day_mean_utci,28.27,29.7,30.71
3548,typical_day_mean_utci,31.07,32.52,33.64
3442,typical_day_mean_utci,28.6,30.04,31.06
3549,typical_day_mean_utci,32.93,34.39,35.6
3335,typical_day_mean_utci,28.27,29.7,30.71
3443,typical_day_mean_utci,28.48,29.92,30.94
3550,typical_day_mean_utci,29.87,31.31,32.39
3336,typical_day_mean_utci,28.27,29.7,30.71
4614,typical_day_mean_utci,28.26,29.69,30.7
4722,typical_day_mean_utci,28.26,29.69,30.7
4400,typical_day_mean_utci,28.26,29.69,30.7
4294,typical_day_mean_utci,28.26,29.69,30.69
4508,typical_day_mean_utci,28.26,29.69,30.7
4401,typical_day_mean_utci,28.26,29.69,30.7
4295,typical_day_mean_utci,28.95,30.39,31.42
4509,typical_day_mean_utci,29.61,31.05,32.11
4402,typical_day_mean_utci,31.16,32.61,33.74
4510,typical_day_mean_utci,33.73,35.21,36.48
4296,typical_day_mean_utci,32.8,34.27,35.49
4186,typical_day_mean_utci,28.25,29.69,30.69
3972,typical_day_mean_utci,28.25,29.69,30.69
4080,typical_day_mean_utci,28.25,29.69,30.69
4187,typical_day_mean_utci,28.25,29.69,30.69
3973,typical_day_mean_utci,28.51,29.94,30.96
4081,typical_day_mean_utci,29.98,31.42,32.51
3974,typical_day_mean_utci,32.85,34.31,35.52
4188,typical_day_mean_utci,31.89,33.35,34.52
4082,typical_day_mean_utci,34.05,35.53,36.82
3975,typical_day_mean_utci,33.88,35.36,36.63
4615,typical_day_mean_utci,28.64,30.07,31.1
4723,typical_day_mean_utci,29.21,30.64,31.7
4616,typical_day_mean_utci,32.72,34.18,35.37
4724,typical_day_mean_utci,31.59,33.04,34.2
4617,typical_day_mean_utci,33.5,34.96,36.2
4725,typical_day_mean_utci,33.44,34.91,36.16
4618,typical_day_mean_utci,33.93,35.41,36.71
4726,typical_day_mean_utci,33.36,34.84,36.11
4619,typical_day_mean_utci,33.82,35.3,36.58
4727,typical_day_mean_utci,33.26,34.73,35.97
4403,typical_day_mean_utci,34.15,35.63,36.93
4511,typical_day_mean_utci,33.93,35.4,36.67
4297,typical_day_mean_utci,34.03,35.51,36.79
4404,typical_day_mean_utci,33.62,35.09,36.35
4298,typical_day_mean_utci,33.9,35.37,36.63
4512,typical_day_mean_utci,33.87,35.35,36.63
4405,typical_day_mean_utci,31.71,33.15,34.31
4513,typical_day_mean_utci,33.28,34.75,35.98
4299,typical_day_mean_utci,33.73,35.19,36.43
4406,typical_day_mean_utci,33.4,34.86,36.1
4189,typical_day_mean_utci,34.07,35.55,36.84
