hex_id,stat,utci_present,utci_2050,utci_2090
278,typical_day_mean_utci,33.77,38.0,41.25
279,typical_day_mean_utci,33.5,37.73,41.0
241,typical_day_mean_utci,34.0,38.25,41.53
280,typical_day_mean_utci,33.99,38.25,41.55
242,typical_day_mean_utci,34.07,38.33,41.63
281,typical_day_mean_utci,34.18,38.47,41.79
243,typical_day_mean_utci,34.04,38.31,41.6
282,typical_day_mean_utci,34.27,38.57,41.92
244,typical_day_mean_utci,33.89,38.11,41.37
283,typical_day_mean_utci,33.99,38.23,41.51
245,typical_day_mean_utci,33.92,38.15,41.4
284,typical_day_mean_utci,33.89,38.11,41.36
246,typical_day_mean_utci,33.89,38.11,41.36
207,typical_day_mean_utci,33.88,38.1,41.35
285,typical_day_mean_utci,33.87,38.1,41.36
247,typical_day_mean_utci,33.88,38.1,41.35
546,typical_day_mean_utci,34.28,38.59,41.93
585,typical_day_mean_utci,33.86,38.07,41.32
507,typical_day_mean_utci,35.05,39.54,43.08
547,typical_day_mean_utci,34.28,38.58,41.92
586,typical_day_mean_utci,33.84,38.04,41.27
508,typical_day_mean_utci,34.95,39.41,42.92
548,typical_day_mean_utci,34.33,38.64,41.99
509,typical_day_mean_utci,34.66,39.05,42.48
587,typical_day_mean_utci,33.94,38.17,41.43
549,typical_day_mean_utci,34.42,38.76,42.14
390,typical_day_mean_utci,34.46,38.82,42.23
351,typical_day_mean_utci,33.9,38.13,41.39
391,typical_day_mean_utci,33.92,38.15,41.42
352,typical_day_mean_utci,33.88,38.1,41.35
392,typical_day_mean_utci,33.89,38.12,41.37
353,typical_day_mean_utci,33.86,38.08,41.33
315,typical_day_mean_utci,33.9,38.13,41.38
468,typical_day_mean_utci,35.09,39.59,43.14
429,typical_day_mean_utci,34.2,38.48,41.8
469,typical_day_mean_utci,34.98,39.44,42.96
430,typical_day_mean_utci,34.15,38.42,41.72
470,typical_day_mean_utci,35.17,39.69,43.25
431,typical_day_mean_utci,34.24,38.51,41.83
471,typical_day_mean_utci,35.23,39.77,43.36
432,typical_day_mean_utci,34.41,38.69,42.02
472,typical_day_mean_utci,35.18,39.7,43.28
433,typical_day_mean_utci,35.26,39.79,43.38
393,typical_day_mean_utci,33.86,38.07,41.31
354,typical_day_mean_utci,34.07,38.33,41.62
394,typical_day_mean_utci,34.66,39.05,42.48
316,typical_day_mean_utci,34.01,38.26,41.54
355,typical_day_mean_utci,34.13,38.41,41.72
317,typical_day_mean_utci,33.9,38.13,41.39
356,typical_day_mean_utci,34.38,38.71,42.09
